Booknb,Title,Author,Date
141,Battles and Leaders of the Civil War: The Opening Battles. Volume 1. ,Robert Underwood Johnson; Clarence Clough Buell,1887
142,Battles and Leaders of the Civil War: Volume 2. ,Robert Underwood Johnson; Clarence Clough Buell,1887
143,"Confederate Military History, a library of Confederate States Military History: Volume 9.1, Kentucky",Col. J. Stoddard Johnston,1899
144,"The Life of General Albert Sidney Johnston: His Service in the Armies of the United States, the Republic of Texas, and the Confederate States.",Colonel William Preston Johnston,1879
145,Narrative of Military Operations During the Civil War ,General Joseph E. Johnston,1874
146,"Summary of the Art of War, or a New Analytical Compend of the Principle Combinations of Strategy, of Grand Tactics and of Military Policy. ",Baron de Jomini,1854
147,A Rebel War Clerk's Diary,J. B. Jones,1866
148,"Christ in the camp, or religion in Lee's army",J. William Jones,1887
149,Knight's Mechanical Encyclopedia,Knight,1877
15,"History of the United States from the Discovery of the American Continent, Vol. 2, 17th edition.",George Bancroft,1859
150,General Lee,Fitzhugh Lee,1894
151,"Life and public services of Charles Sumner: Born Jan. 6, 1811. Died March 11, 1874.",C. Edwards Lester,1874
152,Debates of Lincoln and Douglas: Carefully Prepared by the Reporters of Each Party at the times of their Delivery.,Abraham Lincoln; Stephen A. Douglas,1860
153,Horace Greeley Founder and Editor of The New York Tribune,William Alexander Linn,1903
154,Reminiscences of a Soldier's Wife: An Autobiography ,Mrs. John A. Logan,1913
155,From Manassas to Appomattox ,General James Longstreet,1895
156,Pictorial Field Book of the Civil War. Volume 1. ,Benson J. Lossing,1876
157,Pictorial Field Book of the Civil War. Volume 2. ,Benson J. Lossing,1870
158,Pictorial Field Book of the Civil War. Volume 3. ,Benson J. Lossing,1874
159,Among my books,James Russell Lowell,1876
16,"History of the United States from the Discovery of the American Continent, Vol. 3, 15th edition.",George Bancroft,1860
160,With Grant and Meade from the Wilderness to Appomattox,Colonel Theodore Lyman,1922
161,"Diary of a southern refugee during the war, by a lady of Virginia",Judith White McGuire,1867
162,"The Life and Letters of George Gordon Meade, Major-General United States Army",George Meade,1913
