Author|Title|Publishing Date|author_wikidata_id|date_birth|date_death|author_description|origin|birth_place|gender|author_image|occupation
James Buchanan|Buchanan's administration on the eve of the rebellion|1866|http://www.wikidata.org/entity/Q12325|23/4/1791|1/6/1868|American politician, 15th President of the United States (in office from 1857 to 1861)|United States of America|-|male|https://commons.wikimedia.org/wiki/File:James%20Buchanan,%20by%20George%20Peter%20Alexander%20Healy.jpg|politician, statesperson
Benjamnin F. Butler|Butler's Book: Autobiography and Personal Reminiscences of Major-General Benjamin Butler|1892|-|-|-|-|-|-|-|-|-
William Peterfield Trent; Erskine, John; Sherman; Van Doren, Carl|Cambridge History of American Literature: volume 1, Colonial and Revolutionary Literature: Early National Literature: Part I|1921|http://www.wikidata.org/entity/Q8016816|10/11/1862|1/1/1939|United States man of letters|United States of America|-|male|-|historian, journalist, biographer
William Peterfield Trent; Erskine, John; Sherman, Stuart Pratt; Van Doren, Carl|Cambridge History of American Literature: volume 2|1921|http://www.wikidata.org/entity/Q8016816|10/11/1862|1/1/1939|United States man of letters|United States of America|-|male|-|historian, journalist, biographer
William Peterfield Trent; Erskine, John; Sherman, Stuart Pratt; Van Doren, Carl|Cambridge History of American Literature: volume 3|1921|http://www.wikidata.org/entity/Q8016816|10/11/1862|1/1/1939|United States man of letters|United States of America|-|male|-|historian, journalist, biographer
Arthur Gilman|The Cambridge of eighteen hundred and ninety-six: a picture of the city and its industries fifty years after its incorporation|1896|http://www.wikidata.org/entity/Q16037689|22/6/1837|27/12/1909|United States writer and educator|United States of America|Alton|male|http://commons.wikimedia.org/wiki/Special:FilePath/Arthur%20Gilman%20%28educator%29.jpg|banker
Estelle M. H. Merrill|Cambridge sketches|1896|http://www.wikidata.org/entity/Q56537868|30/9/1858|29/7/1908|American journalist, editor|United States of America|Jefferson|female|http://commons.wikimedia.org/wiki/Special:FilePath/Estelle%20M.%20H.%20Merrill%20%281898%29.png|writer, journalist, newspaper editor
Francis B. Carpenter|Six Months at the White House|1866|http://www.wikidata.org/entity/Q1441399|6/8/1830|23/5/1900|American artist|United States of America|Homer|male|http://commons.wikimedia.org/wiki/Special:FilePath/Francis%20Bicknell%20Carpenter.jpg|painter
Joshua Lawrence Chamberlain|The Passing of the Armies: The Last Campaign of the Armies.|1915|http://www.wikidata.org/entity/Q80766|8/9/1828|24/2/1914|Union Army general and Medal of Honor recipient|United States of America|Brewer|male|http://commons.wikimedia.org/wiki/Special:FilePath/Joshua%20Chamberlain%20-%20Brady-Handy.jpg|politician, university teacher, military officer
John Jay Chapman|William Lloyd Garrison|1921|http://www.wikidata.org/entity/Q2659392|2/3/1862|4/11/1933|American author|United States of America|New York City|male|http://commons.wikimedia.org/wiki/Special:FilePath/Photo%20of%20John%20Jay%20Chapman.jpg|biographer, lawyer
Lydia Maria Child|Isaac T. Hopper: a true life|1854|http://www.wikidata.org/entity/Q443132|11/2/1802|20/10/1880|American abolitionist, author and women's rights activist|United States of America|Medford|female|http://commons.wikimedia.org/wiki/Special:FilePath/Lydia%20Maria%20Child.jpg|writer, novelist, poet, journalist, geologist
Lydia Maria Child|Letters of Lydia Maria Child|1884|http://www.wikidata.org/entity/Q443132|11/2/1802|20/10/1880|American abolitionist, author and women's rights activist|United States of America|Medford|female|http://commons.wikimedia.org/wiki/Special:FilePath/Lydia%20Maria%20Child.jpg|writer, novelist, poet, journalist, geologist
English Combatant|Battlefields of the South from Bull Run to Fredericksburgh; with sketches of Confederate commanders, and gossip of the camps.|1864|-|-|-|-|-|-|-|-|-
Charles Congdon|Tribune Essays: Leading Articles Contributing to the New York Tribune from 1857 to 1863.|1869|-|-|-|-|-|-|-|-|-
John Esten Cooke|Wearing of the Gray: Being Personal Portraits, Scenes, and Adventures of War.|1867|http://www.wikidata.org/entity/Q4245664|3/11/1830|27/9/1886|novelist|United States of America|Virginia|male|http://commons.wikimedia.org/wiki/Special:FilePath/John%20Esten%20Cooke%20wmm.jpg|novelist, biographer
William A. Crafts|Life of Ulysses S. Grant: His Boyhood, Campaigns, and Services, Military and Civil.|1868|http://www.wikidata.org/entity/Q52154518|1/1/1787|1/1/1826|-|-|-|-|-|writer
Ernest Crosby|Garrison the non-resistant|1905|-|-|-|-|-|-|-|-|-
Jabez L. M. Curry; William Robertson Garrett|Confederate Military History, a library of Confederate States Military History: Volume 1.1, Legal Justification of the South in secession, The South as a factor in the territorial expansion of the United States|1899|-|-|-|-|-|-|-|-|-
